Machine Module,SSA3075X-R,3.2.2.5.1R20
Y Axis Scale,LOG
104000,6.59
105333,6.53
106667,6.62
108000,6.62
109333,6.62
110667,6.64
112000,6.62
113333,6.62
114667,6.58
116000,6.65
117333,6.69
118667,6.65
120000,6.68
121333,6.64
122667,6.63
124000,6.63
125333,6.63
126667,6.65
128000,6.65
129333,6.63
130667,6.65
132000,6.69
133333,6.70
134667,6.65
136000,6.67
137333,6.67
138667,6.62
140000,6.69
141333,6.69
142667,6.68
144000,6.69
145333,6.72
146667,6.69
148000,6.67
149333,6.69
150667,6.68
152000,6.70
153333,6.72
154667,6.74
156000,6.70
157333,6.73
158667,6.68
160000,6.73
161333,6.71
162667,6.70
164000,6.70
165333,6.72
166667,6.67
168000,6.65
169333,6.73
170667,6.72
172000,6.72
173333,6.70
174667,6.70
176000,6.67
177333,6.71
178667,6.68
180000,6.68
181333,6.72
182667,6.68
184000,6.74
185333,6.72
186667,6.73
188000,6.68
189333,6.71
190667,6.68
192000,6.68
193333,6.70
194667,6.71
196000,6.68
197333,6.72
198667,6.71
200000,6.76
201333,6.72
202667,6.73
204000,6.71
205333,6.70
206667,6.70
208000,6.72
209333,6.69
210667,6.66
212000,6.71
213333,6.72
214667,6.73
216000,6.70
217333,6.67
218667,6.72
220000,6.68
221333,6.75
222667,6.70
224000,6.72
225333,6.74
226667,6.71
228000,6.74
229333,6.72
230667,6.70
232000,6.73
233333,6.65
234667,6.70
236000,6.72
237333,6.73
238667,6.70
240000,6.72
241333,6.73
242667,6.69
244000,6.66
245333,6.71
246667,6.71
248000,6.68
249333,6.67
250667,6.71
252000,6.72
253333,6.66
254667,6.70
256000,6.72
257333,6.73
258667,6.66
260000,6.73
261333,6.72
262667,6.69
264000,6.67
265333,6.73
266667,6.73
268000,6.65
269333,6.73
270667,6.70
272000,6.70
273333,6.68
274667,6.70
276000,6.71
277333,6.71
278667,6.63
280000,6.71
281333,6.71
282667,6.64
284000,6.72
285333,6.72
286667,6.68
288000,6.70
289333,6.67
290667,6.71
292000,6.70
293333,6.62
294667,6.71
296000,6.73
297333,6.64
298667,6.68
300000,6.73
301333,6.72
302667,6.74
304000,6.65
305333,6.72
306667,6.71
308000,6.67
309333,6.71
310667,6.72
312000,6.69
313333,6.73
314667,6.70
316000,6.73
317333,6.69
318667,6.67
320000,6.71
321333,6.68
322667,6.65
324000,6.69
325333,6.70
326667,6.69
328000,6.67
329333,6.71
330667,6.70
332000,6.70
333333,6.67
334667,6.71
336000,6.72
337333,6.61
338667,6.68
340000,6.67
341333,6.69
342667,6.66
344000,6.67
345333,6.68
346667,6.68
348000,6.58
349333,6.68
350667,6.70
352000,6.60
353333,6.68
354667,6.68
356000,6.68
357333,6.67
358667,6.62
360000,6.67
361333,6.66
362667,6.60
364000,6.68
365333,6.67
366667,6.63
368000,6.65
369333,6.66
370667,6.65
372000,6.67
373333,6.64
374667,6.65
376000,6.63
377333,6.54
378667,6.69
380000,6.65
381333,6.61
382667,6.60
384000,6.64
385333,6.62
386667,6.62
388000,6.59
389333,6.61
390667,6.61
392000,6.58
393333,6.63
394667,6.63
396000,6.60
397333,6.59
398667,6.59
400000,6.59
401333,6.59
402667,6.55
404000,6.57
405333,6.60
406667,6.53
408000,6.55
409333,6.58
410667,6.57
412000,6.52
413333,6.55
414667,6.57
416000,6.51
417333,6.47
418667,6.54
420000,6.55
421333,6.50
422667,6.50
424000,6.54
425333,6.51
426667,6.50
428000,6.50
429333,6.48
430667,6.51
432000,6.36
433333,6.47
434667,6.45
436000,6.41
437333,6.43
438667,6.43
440000,6.41
441333,6.41
442667,6.36
444000,6.41
445333,6.36
446667,6.30
448000,6.34
449333,6.34
450667,6.33
452000,6.31
453333,6.31
454667,6.28
456000,6.24
457333,6.20
458667,6.25
460000,6.22
461333,6.16
462667,6.20
464000,6.17
465333,6.13
466667,6.14
468000,6.07
469333,6.07
470667,6.05
472000,5.96
473333,6.01
474667,5.98
476000,5.88
477333,5.91
478667,5.90
480000,5.85
481333,5.77
482667,5.72
484000,5.69
485333,5.65
486667,5.58
488000,5.58
489333,5.46
490667,5.39
492000,5.40
493333,5.30
494667,5.20
496000,5.16
497333,5.08
498667,4.97
500000,4.82
501333,4.67
502667,4.53
504000,4.39
505333,4.33
506667,4.16
508000,4.03
509333,3.87
510667,3.72
512000,3.51
513333,3.29
514667,3.08
516000,2.86
517333,2.60
518667,2.30
520000,2.02
521333,1.70
522667,1.35
524000,1.00
525333,0.62
526667,0.21
528000,-0.25
529333,-0.69
530667,-1.16
532000,-1.70
533333,-2.11
534667,-2.62
536000,-3.10
537333,-3.49
538667,-3.91
540000,-4.13
541333,-4.33
542667,-4.24
544000,-4.08
545333,-3.82
546667,-3.47
548000,-3.06
549333,-2.72
550667,-2.31
552000,-1.89
553333,-1.53
554667,-1.10
556000,-0.72
557333,-0.39
558667,-0.04
560000,0.30
561333,0.57
562667,0.87
564000,1.13
565333,1.40
566667,1.67
568000,1.90
569333,2.08
570667,2.33
572000,2.50
573333,2.70
574667,2.85
576000,3.02
577333,3.16
578667,3.32
580000,3.44
581333,3.56
582667,3.72
584000,3.83
585333,3.92
586667,4.03
588000,4.15
589333,4.25
590667,4.30
592000,4.40
593333,4.49
594667,4.55
596000,4.65
597333,4.70
598667,4.78
600000,4.85
601333,4.91
602667,4.96
604000,5.02
605333,5.05
606667,5.12
608000,5.18
609333,5.22
610667,5.25
612000,5.29
613333,5.34
614667,5.35
616000,5.44
617333,5.46
618667,5.50
620000,5.52
621333,5.56
622667,5.58
624000,5.62
625333,5.62
626667,5.66
628000,5.70
629333,5.72
630667,5.73
632000,5.76
633333,5.79
634667,5.79
636000,5.84
637333,5.85
638667,5.91
640000,5.91
641333,5.91
642667,5.92
644000,5.95
645333,5.96
646667,5.99
648000,6.00
649333,6.00
650667,6.05
652000,6.03
653333,6.07
654667,6.08
656000,6.08
657333,6.10
658667,6.11
660000,6.13
661333,6.14
662667,6.15
664000,6.15
665333,6.16
666667,6.17
668000,6.19
669333,6.19
670667,6.21
672000,6.20
673333,6.24
674667,6.23
676000,6.23
677333,6.25
678667,6.27
680000,6.27
681333,6.26
682667,6.28
684000,6.28
685333,6.30
686667,6.29
688000,6.31
689333,6.31
690667,6.32
692000,6.31
693333,6.34
694667,6.34
696000,6.32
697333,6.34
698667,6.36
700000,6.37
701333,6.35
702667,6.39
704000,6.37
705333,6.39
706667,6.38
708000,6.39
709333,6.39
710667,6.38
712000,6.41
713333,6.40
714667,6.41
716000,6.41
717333,6.42
718667,6.42
720000,6.42
721333,6.42
722667,6.44
724000,6.43
725333,6.43
726667,6.44
728000,6.46
729333,6.44
730667,6.44
732000,6.46
733333,6.47
734667,6.46
736000,6.47
737333,6.47
738667,6.47
740000,6.47
741333,6.47
742667,6.49
744000,6.49
745333,6.48
746667,6.49
748000,6.50
749333,6.50
750667,6.50
752000,6.52
753333,6.51
754667,6.51
756000,6.52
757333,6.53
758667,6.50
760000,6.52
761333,6.52
762667,6.53
764000,6.54
765333,6.51
766667,6.53
768000,6.53
769333,6.54
770667,6.53
772000,6.54
773333,6.54
774667,6.54
776000,6.54
777333,6.55
778667,6.55
780000,6.54
781333,6.55
782667,6.57
784000,6.56
785333,6.54
786667,6.56
788000,6.57
789333,6.57
790667,6.56
792000,6.57
793333,6.57
794667,6.56
796000,6.57
797333,6.58
798667,6.57
800000,6.55
801333,6.58
802667,6.59
804000,6.58
805333,6.57
806667,6.58
808000,6.60
809333,6.58
810667,6.59
812000,6.58
813333,6.60
814667,6.58
816000,6.60
817333,6.61
818667,6.59
820000,6.59
821333,6.60
822667,6.61
824000,6.59
825333,6.60
826667,6.61
828000,6.62
829333,6.60
830667,6.61
832000,6.62
833333,6.62
834667,6.60
836000,6.61
837333,6.63
838667,6.63
840000,6.61
841333,6.61
842667,6.63
844000,6.61
845333,6.62
846667,6.63
848000,6.64
849333,6.62
850667,6.63
852000,6.64
853333,6.63
854667,6.61
856000,6.61
857333,6.64
858667,6.63
860000,6.62
861333,6.62
862667,6.64
864000,6.63
865333,6.63
866667,6.65
868000,6.64
869333,6.63
870667,6.64
872000,6.64
873333,6.64
874667,6.62
876000,6.63
877333,6.64
878667,6.64
880000,6.64
881333,6.64
882667,6.65
884000,6.64
885333,6.64
886667,6.65
888000,6.64
889333,6.63
890667,6.65
892000,6.65
893333,6.65
894667,6.63
896000,6.65
897333,6.66
898667,6.64
900000,6.65
901333,6.64
902667,6.66
904000,6.64
905333,6.65
906667,6.66
908000,6.65
909333,6.64
910667,6.66
912000,6.68
913333,6.66
914667,6.65
916000,6.65
917333,6.68
918667,6.66
920000,6.66
921333,6.67
922667,6.65
924000,6.65
925333,6.67
926667,6.65
928000,6.65
929333,6.68
930667,6.66
932000,6.66
933333,6.66
934667,6.67
936000,6.66
937333,6.67
938667,6.67
940000,6.67
941333,6.65
942667,6.67
944000,6.68
945333,6.68
946667,6.63
948000,6.67
949333,6.68
950667,6.68
952000,6.66
953333,6.67
954667,6.69
956000,6.65
957333,6.66
958667,6.68
960000,6.67
961333,6.65
962667,6.67
964000,6.69
965333,6.68
966667,6.65
968000,6.66
969333,6.68
970667,6.65
972000,6.65
973333,6.68
974667,6.67
976000,6.64
977333,6.66
978667,6.68
980000,6.67
981333,6.64
982667,6.68
984000,6.68
985333,6.67
986667,6.66
988000,6.69
989333,6.67
990667,6.64
992000,6.69
993333,6.64
994667,6.68
996000,6.69
997333,6.67
998667,6.66
1000000,6.68
Trace Name,Trace B
Trace Type,Blank
Trace Name,Trace C
Trace Type,Blank
Trace Name,Trace D
Trace Type,Blank
